"PLATE","STATE","TYPE","TERMINATED","SUMMONS","NON PROGRAM","ISSUE DATE","ISSUE TIME","SYS ENTRY","NEW ISSUE","VC","HEARING IND","PENALTY WARNING","JUDGMENT","FINE","PENALTY","INTEREST","REDUCTION","PAYMENT","NG PMT","AMOUNT DUE","VIO COUNTY","FRONT OR OPP","HOUSE NUMBER","STREET NAME","INTERSECT STREET","GEO LOC","STREET CODE1","STREET CODE2","STREET CODE3"
"XESY16","NJ","PAS"," ","9168247205"," ","11/15/24","1123A","11/20/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","O","400","Park Ave","                    ","0018","27790","18070","18090"
"XESY16","NJ","PAS"," ","9168752362"," ","11/15/24","0140P","11/20/24"," ",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","F","127","W 43rd St","                    ","0014","34630","10510","13610"
"XESY16","NJ","PAS"," ","9170770992"," ","11/19/24","0155P","11/22/24"," ",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","O","147","W 43rd St","                    ","0014","34630","10510","13610"
"XESY16","NJ","PAS"," ","9170016320"," ","11/20/24","0142P","11/25/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","O","70","E 55th St","                    ","0014","18090","25390","27790"
"XESY16","NJ","PAS"," ","9169952140"," ","11/21/24","0113P","11/26/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","90","Greenwich Ave","                    ","0006","21740","34010","23790"
"XESY16","NJ","PAS"," ","9171470750"," ","11/22/24","1227P","11/27/24"," ",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","I","S","E 46th St","30ft W/of Vanderbilt","0014","17910","00000","00000"
"XESY16","NJ","PAS"," ","9168739874"," ","11/25/24","1105A","11/29/24"," ",38,"              ","1ST PNLTY","        "," 65","0","  0.00"," 20.00","  0.00"," "," 45.00","NY","O","125","7th Ave","                    ","0010","10610","34110","34130"
"XESY16","NJ","PAS"," ","9173280185"," ","11/26/24","0938A","11/29/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","I","N","W 27th St","80ft W/of 5th Ave","0013","34310","00000","00000"
"XESY16","NJ","PAS"," ","9170915842"," ","12/03/24","0227P","12/06/24","Y",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","I","N","E 39th St","50ft W/of Park Ave","0014","17770","00000","00000"
"XFVS30","NJ","PAS"," ","9167758915"," ","11/18/24","1214P","11/21/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","19","Hudson St","                    ","0001","23190","29390","16850"
"XFVS31","NJ","PAS"," ","9165146803"," ","11/04/24","1252P","11/07/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","220","W 49th St","                    ","0018","34750","13610","10810"
"XFVS31","NJ","PAS"," ","9161563535"," ","11/05/24","0136P","11/08/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","O","254","Greene St","                    ","0006","21730","33690","17150"
"XFVS31","NJ","PAS"," ","9153355465"," ","11/06/24","1056A","11/12/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","13","W 36th St","                    ","0014","34490","10410","10510"
"XFVS31","NJ","PAS"," ","9138317758"," ","11/07/24","0852A","11/12/24"," ",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","F","127","W 43rd St","                    ","0014","34630","10510","13610"
"XFVS31","NJ","PAS"," ","9163574792"," ","11/07/24","0326P","11/12/24"," ",38,"              ","1ST PNLTY","        "," 65","0","  0.00"," 20.00","  0.00"," "," 45.00","NY","F","113","Greenwich Ave","                    ","0006","21740","34010","23790"
"XFVS31","NJ","PAS"," ","9163832264"," ","11/07/24","0142P","11/12/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","358","W 44th St","                    ","0018","34650","10810","10910"
"XFVS31","NJ","PAS"," ","9166197855"," ","11/07/24","0215P","11/12/24"," ",47,"              ","1ST PNLTY","        ","115","0","  0.00"," 15.00","  0.00"," ","100.00","NY","F","708","3rd Ave","                    ","0014","10210","17870","17890"
"XFVS31","NJ","PAS"," ","9166412730"," ","11/13/24","0219P","11/19/24"," ",38,"              ","1ST PNLTY","        "," 65","0","  0.00"," 20.00","  0.00"," "," 45.00","NY","F","47","3rd Ave","                    ","0009","10210","17190","17210"
"XFVS31","NJ","PAS"," ","9166778566"," ","11/25/24","1206P","11/29/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","148","W 37th St","                    ","0014","34510","13610","10610"
"XGDN93","NJ","PAS"," ","9164133825"," ","11/06/24","0503P","11/12/24"," ",17,"              ","1ST PNLTY","        "," 95","0","  0.00"," 15.00","  0.00"," "," 80.00","NY","F","139","E 13th St","                    ","0009","17250","10350","10210"
"XGDN93","NJ","PAS"," ","9168219404"," ","11/23/24","0821A","11/27/24"," ",21,"              ","1ST PNLTY","        "," 65","0","  0.00"," 25.00","  0.00"," "," 40.00","NY","F","290","3rd Ave","                    ","0013","10210","17430","17450"
"XHKT30","NJ","PAS"," ","5800636862"," ","10/16/24","0601P","11/18/24"," ",43,"              ","1ST PNLTY","        "," 50","0","  0.00","  0.00","  0.00"," "," 50.00","MN"," ","            ","NB 1st Ave @ St Mark","s Pl","     ","00000","00000","00000"
"XHKT30","NJ","PAS"," ","9164110930"," ","11/01/24","0436P","11/06/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","506","Laguardia Pl","                    ","0006","44890","45090","13310"
"XHUL72","NJ","PAS"," ","5135711053"," ","07/08/24","1101A","07/19/24"," ",7,"              ","          ","10/31/24"," 50","25","  0.69","  0.00","  0.00"," "," 75.69","ST"," ","            ","MILFORD DR (E/B) @ C","LOVE RD","     ","00000","00000","00000"
"XHUL72","NJ","PAS"," ","9146609003"," ","11/08/24","0508P","11/13/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","35","Great Jones St","                    ","0009","21705","24390","13460"
"XHUL72","NJ","PAS"," ","9168954359"," ","11/12/24","0135P","11/15/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","37","Bedford St","                    ","0006","13000","16710","14110"
"XHUL72","NJ","PAS"," ","9170331534"," ","12/02/24","0133P","12/05/24","Y",19,"              ","1ST PNLTY","        ","115","0","  0.00"," 15.00","  0.00"," ","100.00","NY","O","909","7th Ave","                    ","0018","10610","34910","34930"
"XHUL72","NJ","PAS"," ","9172613464"," ","12/02/24","0437P","12/05/24","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","190","Bleecker St","                    ","0006","13310","25190","10510"
"XHUL72","NJ","PAS"," ","9169231795"," ","12/03/24","1111A","12/06/24","Y",47,"              ","1ST PNLTY","        ","115","0","  0.00"," 15.00","  0.00"," ","100.00","NY","F","315","7th Ave","                    ","0010","10610","34310","34330"
"XKFD28","NJ","PAS"," ","4912471446"," ","08/15/24","1017A","08/20/24"," ",36,"              ","          ","11/28/24"," 50","25","  0.05","  0.00"," 50.00"," "," 25.05","MN"," ","            ","NB WEST ST @ CARLISL","E ST","     ","00000","00000","00000"
"XKFD28","NJ","PAS"," ","5800578930"," ","10/11/24","0736P","11/12/24"," ",43,"              ","1ST PNLTY","        "," 50","0","  0.00","  0.00","  0.00"," "," 50.00","MN"," ","            ","SB Hudson St @ Jane","St","     ","00000","00000","00000"
"XKFD28","NJ","PAS"," ","8851992290"," ","11/04/24","0225P","11/07/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","107","E 34th St","                    ","0014","17670","27790","24890"
"XKFD28","NJ","PAS"," ","9161564448"," ","11/08/24","0529P","11/13/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","47","W 13th St","                    ","0006","34030","10410","10510"
"XKFD28","NJ","PAS"," ","9157849304"," ","11/14/24","1044A","11/19/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","25","W 36th St","                    ","0017","34490","10410","10510"
"XKFD28","NJ","PAS"," ","9168733471"," ","11/18/24","0101P","11/21/24"," ",38,"              ","1ST PNLTY","        "," 65","0","  0.00"," 20.00","  0.00"," "," 45.00","NY","F","171","1st Ave","                    ","0009","10010","17190","17210"
"XKFD28","NJ","PAS"," ","9168455896"," ","11/20/24","1234P","11/25/24"," ",17,"              ","1ST PNLTY","        "," 95","0","  0.00"," 15.00","  0.00"," "," 80.00","NY","I","S","W 16th St","10ft W/of 5th Ave","0013","34090","00000","00000"
"XKFD28","NJ","PAS"," ","9171815156"," ","11/26/24","1140A","11/29/24"," ",38,"              ","1ST PNLTY","        "," 65","0","  0.00"," 20.00","  0.00"," "," 45.00","NY","F","6","Bond St","                    ","0009","13430","24080","24390"
"XKFD29","NJ","PAS"," ","9163254505"," ","11/07/24","0911A","11/12/24"," ",21,"              ","1ST PNLTY","        "," 65","0","  0.00"," 25.00","  0.00"," "," 40.00","NY","F","328","W 4th St","                    ","0006","33910","34010","23790"
"XKFD29","NJ","PAS"," ","9165409000"," ","11/11/24","0318P","11/14/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","I","E","W 10th St","20ft N/of Greenwich","0006","33970","00000","00000"
"XKFD29","NJ","PAS"," ","9164122268"," ","11/12/24","1139A","11/15/24"," ",21,"              ","1ST PNLTY","        "," 65","0","  0.00"," 25.00","  0.00"," "," 40.00","NY","O","343","E 8th St","                    ","0009","17150","12210","12310"
"XKFD29","NJ","PAS"," ","9168732168"," ","11/14/24","0942A","11/19/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","538","Laguardia Pl","                    ","0006","44890","13310","33890"
"XKFD29","NJ","PAS"," ","9170760603"," ","11/14/24","0224P","11/19/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","144","Bleecker St","                    ","0006","13310","44890","32590"
"XKFD29","NJ","PAS"," ","9163269650"," ","11/18/24","0334P","11/21/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","231","8th Ave","                    ","0010","10810","34190","34210"
"XKFD29","NJ","PAS"," ","9172895172"," ","11/26/24","0207P","11/29/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","58","Rivington St","                    ","0005","29890","20090","11610"
"XKFD30","NJ","PAS"," ","9168462347"," ","11/14/24","0100P","11/19/24"," ",38,"              ","1ST PNLTY","        "," 65","0","  0.00"," 20.00","  0.00"," "," 45.00","NY","F","131","Avenue A","                    ","0009","12110","31090","17170"
"XKFD30","NJ","PAS"," ","9173575150"," ","11/29/24","0341P","12/04/24","Y",38,"              ","1ST PNLTY","        "," 65","0","  0.00"," 20.00","  0.00"," "," 45.00","NY","I","S","E 9th St","5ft W/of 2nd Ave","0006","17170","00000","00000"
"XKFD30","NJ","PAS"," ","9170578278"," ","11/30/24","0233P","12/04/24","Y",38,"              ","1ST PNLTY","        "," 65","0","  0.00"," 20.00","  0.00"," "," 45.00","NY","O","184","W 4th St","                    ","0006","33910","24090","12610"
"XMYX11","NJ","PAS"," ","9164822643"," ","10/30/24","1244P","11/04/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","130","Church St","                    ","0001","15350","27050","32940"
"XMYX11","NJ","PAS"," ","9165700636"," ","10/30/24","1056A","11/04/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","199","Lafayette St","                    ","0005","24390","13810","24190"
"XMYX11","NJ","PAS"," ","9164765830"," ","10/31/24","1222P","11/06/24"," ",47,"              ","1ST PNLTY","        ","115","0","  0.00"," 15.00","  0.00"," ","100.00","NY","F","112","Madison Ave","                    ","0010","25390","17570","17590"
"XMYX11","NJ","PAS"," ","9166177662"," ","11/06/24","0503P","11/12/24"," ",17,"              ","1ST PNLTY","        "," 95","0","  0.00"," 15.00","  0.00"," "," 80.00","NY","F","137","E 13th St","                    ","0009","17250","10350","10210"
"XNFK96","NJ","PAS"," ","9165446446"," ","10/31/24","0936A","11/06/24"," ",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","O","508","9th Ave","                    ","0014","10910","34530","34550"
"XNFK96","NJ","PAS"," ","5138220720"," ","11/05/24","0825A","11/21/24"," ",7,"              ","1ST PNLTY","        "," 50","0","  0.00","  0.00","  0.00"," "," 50.00","MN"," ","            ","WEST ST (S/B) @ 14TH"," STREET","     ","00000","00000","00000"
"XNFK96","NJ","PAS"," ","9163832082"," ","11/05/24","0927A","11/08/24"," ",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","F","223","W 42nd St","                    ","0014","34610","10610","10810"
"XNFK96","NJ","PAS"," ","9166451218"," ","11/08/24","0904A","11/13/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","330","W 58th St","                    ","0018","34930","10810","10910"
"XNFK96","NJ","PAS"," ","9169215560"," ","11/12/24","1235P","11/15/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","39","Bethune St","                    ","0006","13210","21790","33390"
"XNFK96","NJ","PAS"," ","9164873511"," ","11/13/24","1035A","11/19/24"," ",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","F","106","W 45th St","                    ","0014","34670","10510","10610"
"XNFK96","NJ","PAS"," ","9168954750"," ","11/13/24","0114P","11/19/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","O","253","Bleecker St","                    ","0006","13310","24790","16110"
"XNFK96","NJ","PAS"," ","9166743760"," ","11/18/24","1147A","11/21/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","O","239","Bleecker St","                    ","0006","13310","14110","24790"
"XNFK96","NJ","PAS"," ","9170762831"," ","11/18/24","1213P","11/21/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","228","Bleecker St","                    ","0006","13310","10510","14110"
"XNFK96","NJ","PAS"," ","9168733872"," ","11/19/24","0123P","11/22/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","175","2nd Ave","                    ","0009","10110","17210","17230"
"XNFK96","NJ","PAS"," ","9170616255"," ","11/21/24","0128P","11/26/24"," ",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","F","365","W 46th St","                    ","0018","34690","10810","10910"
"XNFK96","NJ","PAS"," ","9170264648"," ","12/03/24","1232P","12/06/24","Y",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","F","204","W 30th St","                    ","0017","34370","10610","10810"
"XNFL32","NJ","PAS"," ","9163573325"," ","11/04/24","1005A","11/07/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","18","Bleecker St","                    ","0009","13310","20190","26790"
"XNFL32","NJ","PAS"," ","9164598743"," ","11/04/24","1233P","11/07/24"," ",10,"              ","1ST PNLTY","        ","115","0","  0.00"," 15.00","  0.00"," ","100.00","NY","F","209","1st Ave","                    ","0009","10010","17230","17250"
"XNFL32","NJ","PAS"," ","9163319007"," ","11/06/24","1247P","11/12/24"," ",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","F","139","Fulton St","                    ","0001","21230","27100","13610"
"XNFL32","NJ","PAS"," ","9167220538"," ","11/07/24","0331P","11/12/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","5","W 31st St","                    ","0014","34390","10410","13610"
"XNFL32","NJ","PAS"," ","9168744316"," ","11/20/24","1254P","11/25/24"," ",38,"              ","1ST PNLTY","        "," 65","0","  0.00"," 20.00","  0.00"," "," 45.00","NY","O","87","Rivington St","                    ","0007","29890","27590","25090"
"XNFL32","NJ","PAS"," ","9170577201"," ","11/26/24","0103P","11/29/24"," ",38,"              ","1ST PNLTY","        "," 65","0","  0.00"," 20.00","  0.00"," "," 45.00","NY","I","S","Greenwich Ave","20ft E/of Christophe","0006","21740","00000","00000"
"XNFL33","NJ","PAS"," ","5605260182"," ","11/01/24","0553P","11/13/24"," ",12,"              ","1ST PNLTY","        "," 50","0","  0.00","  0.00","  0.00"," "," 50.00","MN"," ","            ","EB E 34th St @ Park","Ave","     ","00000","00000","00000"
"XNFL33","NJ","PAS"," ","9163551901"," ","11/05/24","0945A","11/08/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","94","Bank St","                    ","0006","12510","10810","21790"
"XNFL33","NJ","PAS"," ","9166186316"," ","11/06/24","1130A","11/12/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","169","Spring St","                    ","0001","30790","44890","32590"
"XNFL33","NJ","PAS"," ","9136647720"," ","11/08/24","0721A","11/13/24"," ",21,"              ","1ST PNLTY","        "," 65","0","  0.00"," 25.00","  0.00"," "," 40.00","NY","F","55","Grove St","                    ","0006","21990","13310","10710"
"XNFL33","NJ","PAS"," ","9166139569"," ","11/13/24","1158A","11/19/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","88","4th Ave","                    ","0009","10350","17190","17210"
"XNFL33","NJ","PAS"," ","9167516099"," ","11/13/24","1057A","11/19/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","170","Spring St","                    ","0001","30790","44890","32590"
"XNFL33","NJ","PAS"," ","9080614180"," ","11/15/24","1134A","11/20/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","69","W 55th St","                    ","0018","34870","10410","10510"
"XNFL33","NJ","PAS"," ","9170025083"," ","11/15/24","1105A","11/20/24"," ",47,"              ","1ST PNLTY","        ","115","0","  0.00"," 15.00","  0.00"," ","100.00","NY","F","369","Lexington Ave","                    ","0017","24890","17790","17810"
"XNFL33","NJ","PAS"," ","9170310324"," ","11/15/24","0148P","11/20/24"," ",38,"              ","1ST PNLTY","        "," 65","0","  0.00"," 20.00","  0.00"," "," 45.00","NY","O","33","Canal St","                    ","0007","14010","16410","25090"
"XNFL33","NJ","PAS"," ","9168223729"," ","11/16/24","0136P","11/20/24"," ",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","I","E","Greenwich St","6ft N/of Bethune St","0006","21790","00000","00000"
"XNFL33","NJ","PAS"," ","9162521550"," ","11/20/24","0900A","11/25/24"," ",51,"              ","1ST PNLTY","        ","115","0","  0.00"," 15.00","  0.00"," ","100.00","NY","F","225","W 4th St","                    ","0006","33910","10710","33970"
"XNFL33","NJ","PAS"," ","9168728980"," ","11/21/24","0205P","11/26/24"," ",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","I","S","W 31st St","40ft W/of 7th Ave","0014","34390","00000","00000"
"XNFL33","NJ","PAS"," ","9169952139"," ","11/21/24","0109P","11/26/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","106","Greenwich Ave","                    ","0006","21740","23790","23090"
"XNFL33","NJ","PAS"," ","9168691701"," ","11/22/24","1243P","11/27/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","56","Greenwich Ave","                    ","0006","21740","14810","28690"
"XNFL33","NJ","PAS"," ","9169952401"," ","11/22/24","0203P","11/27/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","54","Greenwich Ave","                    ","0006","21740","14810","28690"
"XNFL33","NJ","PAS"," ","9168739850"," ","11/25/24","1058A","11/29/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","I","N","W 17th St","5ft W/of 7th Ave","0010","34110","00000","00000"
"XNFL33","NJ","PAS"," ","9169969863"," ","12/02/24","0911A","12/05/24","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","110","University Pl","                    ","0006","32645","17230","17250"
"XNFL33","NJ","PAS"," ","9169959973"," ","12/03/24","0240P","12/06/24","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","349","W 12th St","                    ","0006","34010","21790","33390"
"XNFL33","NJ","PAS"," ","9174145060"," ","12/03/24","0133P","12/06/24","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","56","Greenwich Ave","                    ","0006","21740","14810","28690"
