"PLATE","STATE","TYPE","TERMINATED","SUMMONS","NON PROGRAM","ISSUE DATE","ISSUE TIME","SYS ENTRY","NEW ISSUE","VC","HEARING IND","PENALTY WARNING","JUDGMENT","FINE","PENALTY","INTEREST","REDUCTION","PAYMENT","NG PMT","AMOUNT DUE","VIO COUNTY","FRONT OR OPP","HOUSE NUMBER","STREET NAME","INTERSECT STREET","GEO LOC","STREET CODE1","STREET CODE2","STREET CODE3"
"XKFD28","NJ","PAS"," ","9155367290"," ","10/28/24","1154A","10/31/24","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","O","425","E 35th St","                    ","0017","17690","10010","20490"
"XKFD28","NJ","PAS"," ","9165900200"," ","10/29/24","1254P","11/01/24","Y",47,"              ","1ST PNLTY","        ","115","0","  0.00"," 15.00","  0.00"," ","100.00","NY","O","132","E 28th St","                    ","0013","17550","24890","10210"
"XNFK96","NJ","PAS"," ","9163251607"," ","10/28/24","1054A","10/31/24","Y",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","65","2nd Ave","                    ","0006","10110","17050","17070"
"XNFK96","NJ","PAS"," ","9160177275"," ","10/29/24","1147A","11/01/24","Y",19,"              ","1ST PNLTY","        ","115","0","  0.00"," 15.00","  0.00"," ","100.00","NY","I","S","E 41st St","95ft E/of Lexington","0017","17810","00000","00000"
"XNFK96","NJ","PAS"," ","9160177287"," ","10/29/24","1148A","11/01/24","Y",82,"              ","1ST PNLTY","        ","115","0","  0.00"," 50.00","  0.00"," "," 65.00","NY","I","S","E 41st St","95ft E/of Lexington","0017","17810","00000","00000"
"XNFL32","NJ","PAS"," ","9164136152"," ","10/23/24","1253P","10/28/24","Y",38,"              ","1ST PNLTY","        "," 65","0","  0.00"," 20.00","  0.00"," "," 45.00","NY","F","147","Orchard St","                    ","0007","27590","29890","31490"
"XNFL32","NJ","PAS"," ","9164391152"," ","10/24/24","0215P","10/29/24","Y",38,"              ","1ST PNLTY","        "," 65","0","  0.00"," 20.00","  0.00"," "," 45.00","NY","F","123","Ludlow St","                    ","0007","25090","16310","29890"
"XNFL33","NJ","PAS"," ","9159822156"," ","10/23/24","0121P","10/28/24","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","O","228","W 4th St","                    ","0006","33910","10710","33970"
"XNFL33","NJ","PAS"," ","9161102660"," ","10/23/24","0325P","10/28/24","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","211","Elizabeth St","                    ","0005","20190","30790","29290"
"XNFL33","NJ","PAS"," ","9129583720"," ","10/24/24","0234P","10/29/24","Y",40,"              ","1ST PNLTY","        ","115","0","  0.00","  0.00","  0.00"," ","115.00","NY","O","225","W 12th St","                    ","0006","34010","10610","21740"
"XNFL33","NJ","PAS"," ","9164127473"," ","10/29/24","1257P","11/01/24","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","O","112","Norfolk St","                    ","0009","27190","16310","29890"
