"PLATE","STATE","TYPE","TERMINATED","SUMMONS","NON PROGRAM","ISSUE DATE","ISSUE TIME","SYS ENTRY","NEW ISSUE","VC","HEARING IND","PENALTY WARNING","JUDGMENT","FINE","PENALTY","INTEREST","REDUCTION","PAYMENT","NG PMT","AMOUNT DUE","VIO COUNTY","FRONT OR OPP","HOUSE NUMBER","STREET NAME","INTERSECT STREET","GEO LOC","STREET CODE1","STREET CODE2","STREET CODE3"
"XHKT30","NJ","PAS"," ","9164110930"," ","11/01/24","0436P","11/06/24","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","506","Laguardia Pl","                    ","0006","44890","45090","13310"
"XHUL72","NJ","PAS"," ","5135711053"," ","07/08/24","1101A","07/19/24"," ",7,"              ","          ","10/31/24"," 50","25","  0.17","  0.00","  0.00"," "," 75.17","ST"," ","            ","MILFORD DR (E/B) @ C","LOVE RD","     ","00000","00000","00000"
"XKFD28","NJ","PAS"," ","4912471446"," ","08/15/24","1017A","08/20/24"," ",36,"              ","JGMT PNDNG","        "," 50","25","  0.00","  0.00"," 50.00"," "," 25.00","MN"," ","            ","NB WEST ST @ CARLISL","E ST","     ","00000","00000","00000"
"XKFD28","NJ","PAS"," ","8851992290"," ","11/04/24","0225P","11/07/24","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","107","E 34th St","                    ","0014","17670","27790","24890"
"XMYX11","NJ","PAS"," ","9164822643"," ","10/30/24","1244P","11/04/24","Y",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","130","Church St","                    ","0001","15350","27050","32940"
"XMYX11","NJ","PAS"," ","9165700636"," ","10/30/24","1056A","11/04/24","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","199","Lafayette St","                    ","0005","24390","13810","24190"
"XMYX11","NJ","PAS"," ","9164765830"," ","10/31/24","1222P","11/06/24","Y",47,"              ","1ST PNLTY","        ","115","0","  0.00"," 15.00","  0.00"," ","100.00","NY","F","112","Madison Ave","                    ","0010","25390","17570","17590"
"XNFK96","NJ","PAS"," ","9165446446"," ","10/31/24","0936A","11/06/24","Y",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","O","508","9th Ave","                    ","0014","10910","34530","34550"
"XNFK96","NJ","PAS"," ","9163832082"," ","11/05/24","0927A","11/08/24","Y",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","F","223","W 42nd St","                    ","0014","34610","10610","10810"
"XNFL32","NJ","PAS"," ","9163573325"," ","11/04/24","1005A","11/07/24","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","18","Bleecker St","                    ","0009","13310","20190","26790"
"XNFL32","NJ","PAS"," ","9164598743"," ","11/04/24","1233P","11/07/24","Y",10,"              ","1ST PNLTY","        ","115","0","  0.00"," 15.00","  0.00"," ","100.00","NY","F","209","1st Ave","                    ","0009","10010","17230","17250"
"XNFL33","NJ","PAS"," ","9163551901"," ","11/05/24","0945A","11/08/24","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","94","Bank St","                    ","0006","12510","10810","21790"
